iter	Passed	Remaining
0	1	113
1	2	113
2	3	120
3	4	118
4	6	114
5	7	114
6	8	110
7	9	108
8	10	106
9	11	103
10	13	109
11	15	112
12	16	110
13	17	108
14	18	106
15	20	105
16	21	105
17	22	103
18	23	101
19	25	100
20	26	98
21	27	98
22	29	97
23	30	96
24	31	94
25	33	94
26	34	93
27	36	92
28	46	113
29	49	115
30	51	113
31	53	112
32	54	111
33	56	108
34	57	106
35	58	103
36	59	101
37	61	100
38	63	99
39	65	97
40	66	95
41	67	93
42	69	91
43	69	88
44	71	87
45	72	85
46	73	82
47	74	81
48	76	79
49	77	77
50	78	75
51	79	73
52	81	71
53	81	69
54	82	67
55	83	65
56	85	64
57	86	62
58	87	60
59	88	58
60	89	57
61	90	55
62	92	54
63	93	52
64	94	51
65	96	49
66	97	47
67	98	46
68	99	44
69	100	43
70	102	41
71	103	40
72	104	38
73	105	37
74	107	35
75	108	34
76	109	32
77	111	31
78	112	29
79	113	28
80	115	27
81	116	25
82	118	24
83	119	22
84	120	21
85	121	19
86	123	18
87	124	16
88	125	15
89	127	14
90	129	12
91	130	11
92	132	9
93	133	8
94	134	7
95	135	5
96	137	4
97	138	2
98	139	1
99	140	0
